chapter: Analyse Éco > MI3 — Interdépendances et échanges

QCM || Un échange marchand implique || V:transaction contre monnaie|absence de contrepartie|don sans attente|contrainte administrative obligatoire || Définition échange || MI3, Échange, QCM
QCM || Formes de coordination économiques (choisir vraies) || V:marché|V:organisation|V:réciprocité|autarcie comme optimum systématique || Trois mécanismes || MI3, Coordination, QCM
QCM || Avantage du commerce vs autarcie selon Ricardo || V:spécialisation selon coûts relatifs|spécialisation selon coûts absolus seulement|élimination des coûts d’opportunité|suppression du travail || Avantages comparatifs || MI3, Ricardo, QCM
QCM || Le coût d’opportunité d’un kilo de légumes est || V:quantité de pain abandonnée|prix du pain|salaire horaire|quantité totale produite || Coût relatif || MI3, Ricardo, QCM
QCM || Condition d’échange mutuellement bénéfique (Ricardo) || V:prix relatif entre coûts d’opportunité des deux|prix égal au coût absolu minimal|prix fixé unilatéralement|absence de différence de productivité || Intervalle de prix relatifs || MI3, Ricardo, QCM
QCM || Spécialisation recommandée quand || V:coût d’opportunité plus faible pour ce bien|coût absolu identique|salaires identiques|pas de différence relative || Avantage comparatif || MI3, Spécialisation, QCM
QCM || Productivité horaire calculée comme || V:1/temps unitaire|temps unitaire|salaire × prix|coût d’opportunité × prix || Temps vs output || MI3, Productivité, QCM
QCM || Effet global de la spécialisation + échange || V:production totale accrue|production totale réduite|neutralité parfaite|disparition du travail || Gains d’échange || MI3, Gains, QCM
QCM || Différence absolue vs différence relative || V:absolue = niveau productivité; relative = ratio coûts|relative = niveau productivité; absolue = ratio|absolue = préférences; relative = salaire|relative = prix marché; absolue = salaire || Distinction clé || MI3, Concepts, QCM
QCM || Chaîne de valeur illustrée par || V:succession acteurs (farine, eau, sel, cuisson)|consommateur unique|absence de transaction|un seul facteur terre || Interdépendances || MI3, Valeur, QCM
QCM || Réseau de transactions modernes est || V:complexe et multi-acteurs|simple à deux agents|sans monnaie|sans coordination || Complexité || MI3, Réseau, QCM
QCM || Limite de l’autarcie principale || V:inefficience multi-biens|coût d’opportunité nul|spécialisation instantanée|absence de préférence || Autarcie vs échange || MI3, Autarcie, QCM
QCM || Salaire horaire sectoriel (Ricardo simplifié) dépend de || V:prix × productivité|prix – coût d’opportunité|coût absolu seul|temps total × prix || Rémunération || MI3, Salaire, QCM
QCM || Condition de spécialisation maraîcher (exemple) || V:ratio coûts inférieur à celui de l’autre|ratio coûts supérieur|coûts identiques|prix relatif hors intervalle || Décision spéciale || MI3, Spécialisation, QCM
QCM || Ajout des prix dans modèle permet || V:détermination des salaires sectoriels|suppression des coûts|égalité automatique|inversion des productivités || Prix relatifs || MI3, Prix, QCM
QCM || Gains d’échange disparaissent si || V:coûts d’opportunité identiques|différences relatives présentes|productivités diffèrent|prix flottants || Condition neutralité || MI3, Gains, QCM
QCM || Nature du travail dans modèle simplifié || V:facteur limitant|facteur illimité|non productif|substituable à terre parfaitement || Hypothèse travail || MI3, Hypothèses, QCM
QCM || Terres souvent considérées comme || V:facteur non limitant (ex simplifié)|facteur principal unique|producteur de salaire|substitut parfait travail || Hypothèse terre || MI3, Hypothèses, QCM
QCM || Rôle du coût d’opportunité dans spécialisation || V:oriente vers activité avec coût relatif faible|maximise coût absolu|ignore productivité|remplace prix || Mécanisme comparatif || MI3, Mécanisme, QCM
QCM || Échanges accroissent bien-être car || V:accès à combinaison hors frontière de production|réduit toutes productivités|supprime arbitrages|fixe prix administrés || PPF étendue || MI3, PPF, QCM
QCM || Intervalle de prix relatifs doit || V:être compris entre coûts d’opportunité des deux|être inférieur aux deux coûts|être supérieur aux deux|être égal aux coûts absolus || Prix d’échange || MI3, Ricardo, QCM
QCM || Spécialisation modifie || V:allocation du temps de production|préférences|technologie|définition du salaire réel || Organisation production || MI3, Organisation, QCM
QCM || Marché vs réciprocité: marché permet || V:coordination à grande échelle|coordination locale seulement|exclusion de la monnaie|gratuité systématique || Scalabilité || MI3, Coordination, QCM
QCM || Si coûts de transaction élevés, échange marchandise peut || V:être empêché|accéléré|générer coûts opportunité nuls|toujours se produire || Frictions || MI3, Transaction, QCM
