=== INTRODUCTION - STATUT DE L'ECONOMIE ===

QCM || Lesquels des éléments suivants suggèrent que l'économie peut être considérée comme une science ? || V:On parle de sciences économiques, prix Nobel depuis 1969, modélisation mathématique|Seulement le prix Nobel|Uniquement la modélisation|Seulement le nom "sciences économiques"

QCM || Quel est l'intitulé exact du "prix Nobel d'économie" ? || Prix Nobel d'économie|V:Prix de la banque de Suède en sciences économiques en mémoire d'Alfred Nobel|Prix Nobel de la paix économique|Prix européen d'économie

VF || Le "prix Nobel d'économie" fait partie des prix créés par Alfred Nobel. || F || Prix financé par la Banque de Suède en mémoire d'Alfred Nobel, distinct des prix originels.

QCM || En quoi l'économie se distingue-t-elle des sciences naturelles selon ce cours ? || Même méthode|V:En économie on peut revenir aux théories passées, pas en sciences naturelles|Économie plus rigoureuse|Aucune différence

QCM || Par rapport aux sciences naturelles, comment évoluent les connaissances en économie ? || V:Connaissances passées continuent d'influencer le futur en économie|Remplacement systématique comme en sciences|Évolution identique|Pas d'évolution

QCM || Dans ce cours, comment l'histoire des sciences naturelles est-elle qualifiée ? || Utile pour pratique actuelle|V:Musée de théories dépassées|Guide pour recherche|Base théorique

QCM || Quel est l'ouvrage principal de Thomas Kuhn ? || V:La structure des révolutions scientifiques|L'origine des espèces|Théorie générale|Principes d'économie

QCM || Quel concept clé associe-t-on à Thomas Kuhn ? || Révolution|V:Paradigme|Évolution|Progrès

QCM || Chez Kuhn, que désigne le terme « paradigme » ? || Théorie isolée|V:Modèle commun, cadre d'analyse d'une communauté scientifique|Méthode unique|Outil mathématique

QCM || Selon Kuhn, quelle caractéristique décrit une communauté scientifique ? || Désaccord permanent|V:Cohésion, consensus autour principes base et méthodes|Individualisme|Compétition

QCM || Qu'appelle-t-on « révolution scientifique » chez Kuhn ? || Évolution lente|V:Changement de paradigme face aux anomalies|Amélioration continue|Retour en arrière

QCM || À quoi sert l'analogie du puzzle chez Kuhn pour décrire la science « normale » ? || V:Science normale résout problèmes dans cadre établi|Science révolutionnaire|Création de nouveaux puzzles|Destruction paradigmes

QR || La révolution keynésienne met surtout en avant : || V:La demande effective|La neutralité de la monnaie|La loi de Say|La valeur-travail || Accent sur la demande globale et le rôle stabilisateur de l'État.

QCM || Paradigme avant Keynes || Keynésien|V:Classique - marché et non-intervention État|Marginaliste|Marxiste

QCM || Position Keynes sur rôle État || État ne doit pas intervenir|V:État doit jouer un rôle dans l'économie|État doit tout contrôler|État inexistant

QCM || Cohésion économistes selon cours || V:N'a jamais véritablement existé autour d'un paradigme|Parfaite cohésion|Cohésion temporaire|Cohésion croissante

QCM || Coexistence en économie || Un seul paradigme|V:Coexistence d'écoles de pensées qui dominent une période|Chaos théorique|Uniformité

QCM || Quelle est la nationalité de Karl Popper ? || Américain|Français|Allemand|V:Britannique

QCM || Selon Popper, quel est le critère de démarcation d'une proposition scientifique ? || Une seule condition|V:Cohérence logique ET testabilité|Seulement cohérence|Seulement testabilité

QCM || Pour Popper, une proposition scientifique est-elle réfutable ? || Toujours vraie|V:Réfutable par événement concevable|Irréfutable|Évidente

QCM || Exemple tous cygnes blancs || V:Rentre dans champ science (cohérent et testable)|Non scientifique|Partiellement scientifique|Impossible à déterminer

QCM || Quel exemple illustre la transitivité (ou son exception) en microéconomie ? || Pierre papier ciseaux|V:A>B, B>C donc A>C sauf pierre-feuille-ciseaux|A=B=C|Aucun ordre

QCM || Quel problème épistémologique affecte de nombreuses propositions économiques ? || Toujours testables|V:Nombreuses propositions non testables par nature|Facilement testables|Testabilité parfaite

QCM || Dans la réalité, dans quelle mesure les hypothèses de la CPP (concurrence pure et parfaite) sont-elles vérifiées ? || Correspond parfaitement|V:Aucune hypothèse ne correspond à la réalité|Partiellement réaliste|Proche réalité

QCM || Quelle est la caractéristique d'une loi tendancielle en économie ? || Absolues|V:Évolution variable sauf si facteurs l'empêchent|Précises|Immuables

QCM || Pourquoi l'expérimentation est-elle plus difficile en économie qu'en laboratoire ? || Identique|V:Très difficile conditions pratiques|Plus facile|Impossible

QCM || Pourquoi est-il difficile d'infirmer des théories en économie ? || Facilement validées|V:Très difficile d'infirmer en économie|Systématiquement validées|Rapidement invalidées

