QCM || La loi de Engel, cohérente avec les hypothèses qui la fondent, stipule que la part des dépenses alimentaires diminue au fur et à mesure que le revenu des ménages augmente. On observe, depuis le début du XXème siècle, cette tendance relative dans tous les pays de l’OCDE. Au sens de Popper, cette loi est || Scientifique car elle est validée par l’observation|V:Scientifique tant qu’elle n’est pas infirmée par l’observation|Non scientifique car elle n’est pas validée dans tous les pays (seulement dans les pays de l’OCDE)|Non scientifique tant qu’elle n’a pas été testée dans tous les pays ||  ||

QCM || La loi de l’offre et de la demande stipule que lorsque la demande est supérieure à l’offre, les prix augmentent. Vous observez, pendant une année, qu’à chaque fois que la demande de pizzas est supérieure à l’offre dans le food truck italien de votre quartier, le prix des pizzas augmente. Cette observation vous permet de conclure que : || La loi de l’offre et de la demande est vérifiée|V:La loi de l’offre et de la demande n’est pas infirmée|La loi de l’offre et de la demande est cohérente|La loi de l’offre et de la demande est scientifiquement vérifiée ||  ||

QCM || A la fin du XIXème siècle, Léon Walras démontre mathématiquement qu’un équilibre général maximise le bien être de la société. Sa démonstration tient en un système de n équations à n inconnues. Les plus grands mathématiciens de l’époque ont vérifié la résolution de ce système et confirmé le résultat obtenu par Léon Walras. On peut alors dire que || La théorie de Walras est scientifique au sens de Popper|La théorie de Walras est une révolution scientifique au sens de Kuhn|Les deux propositions précédentes sont correctes|V:Aucune des propositions précédentes n’est correcte ||  ||

QCM || « Si c’est la quantité de travail fixée dans une chose qui règle sa valeur échangeable, il s’ensuit que toute augmentation de la quantité de ce travail doit nécessairement augmenter la valeur de l’objet auquel il a été employé ». Cette citation reflète la théorie de la valeur de : || Adam Smith|V:David Ricardo|Karl Marx|Robert Malthus ||  ||

QCM || Considérons le cas où vous pêchez dans un étang libre d'accès. La canne à pêche vous appartient. Vous mettez 30 minutes pour pêcher une truite. Supposons maintenant que vous avez loué votre canne à pêche. Le temps que vous mettez à pêcher votre truite ne change pas. Quelle affirmation est correcte ? || Pour Adam Smith comme pour David Ricardo, la valeur de la truite n'a pas changé entre le premier et le second cas|Pour Adam Smith, la valeur de la truite n'a pas changé entre le premier et le second cas alors que pour David Ricardo elle a augmentés|V:Pour Adam Smith, la valeur de la truite a augmenté entre le premier et le second cas alors que pour David Ricardo elle n'a pas changé|Pour Adam Smith comme pour David Ricardo, la valeur de la truite a augmenté entre le premier et le second cas ||  ||

QCM || Quelle affirmation est vraie ? || Les économistes classiques adhèrent à une conception de la valeur fondée sur le travail sauf Karl Marx|Les économistes classiques considèrent tous que la valeur d'un bien dépend de la quantité de travail nécessaire à sa production, y compris Karl Marx|David Ricardo et Karl Marx définissent la valeur d'un bien comme étant égale à la somme du travail direct, du travail indirect et du travail socialement nécessaireail|V:Aucune des propositions précédentes n'est correcte ||  ||

QCM || Selon Vilfredo Pareto, le concept d’utilité est un concept || Mesurable|Cardinale|V:Ordinale|Cardinale et mesurable ||  ||

QCM || Le paradoxe de l’eau et du diamant révèle une contradiction entre la valeur d’usage d’un bien et sa valeur d’échange. Selon les auteurs classiques, tels David Ricardo, cette contradiction peut être levée : || Si on tient compte de la rareté des deux biens : le diamant étant plus rare que l’eau, sa valeur est donc plus élevée|V:Si on tient compte du coût de production (évalué en quantité de travail) des deux biens : la quantité de travail nécessaire à la production étant plus élevée que celle de l’eau, sa valeur est donc plus élevée|Si on tient compte de l’utilité marginale des deux biens : l’eau étant consommée en plus grande quantité que le diamant, son utilité marginale est plus faible donc les agents sont prêts à la payer bien moins cher qu’une première unité de diamant|Si on tient compte de la loi de l’offre et de la demande : l’offre d’eau étant bien supérieure à sa demande, son prix est faible alors que l’offre de diamant étant inférieure à sa demande, son prix est élevé ||  ||

QCM || L’image du commissaire priseur || est utilisée pour décrire le rôle de l’Etat dans la régulation de l’activité économique|est utilisée par Marshall pour décrire le processus de tâtonnement vers l'équilibre|V:simplifie la compréhension du processus de convergence vers l’équilibre général, processus qui permettrait d’obtenir un système de prix toujours plus proche de l’équilibre général à chaque « tour de marché »|aucune des propositions précédentes n'est correcte ||  ||

QCM || Hugo attribue une utilité de 20 à son vélo et une utilité de 10 à son scooter. Son ami Thomas attribue lui une utilité de 15 à son vélo et de 10 à son scooter. Dans le cadre actuel de l'analyse économique, que pouvez-vous en conclure ? || Hugo et Thomas préfère chacun plus leur vélo à leur scooter mais la préférence de Hugo en faveur du vélo est relativement plus forte que celle de Thomas|Hugo préfère deux fois plus son vélo à son scooter et Thomas préfère 1,5 fois plus son vélo à son scooter|On ne peut rien en conclure puisque les comparaisons interpersonnelles d’utilité sont impossibles|V:Hugo et Thomas préfère chacun respectivement plus leur vélo à leur scooter ||  ||

QCM || Au niveau mondial, l’eau potable : || V:est un bien économique car, comme le souligne Menger, elle satisfait un besoin humain et existe en quantité inférieure à aux besoins humains|est un bien économique car, comme le souligne Menger, elle a un prix de marché|n’est pas un bien économique car, comme le souligne Menger, si elle a un prix de marché, ce prix n’est pas fixé par la concurrence mais par les pouvoirs publics|n’est un bien économique car, comme le souligne Menger, si elle est utile, elle n’est pas rare ||  ||

QCM || Considérons un bijou fabriqué par un artisan. Ce bijou, d’une beauté exceptionnelle, est un exemplaire unique. Au regard de l’économie || ce bijou est rare|ce bijou n’est pas rare|V:vous ne pouvez rien dire quant à sa rareté sans information supplémentaire dans l’énoncé de la proposition|ce bijou est a une valeur d’échange élevée ||  ||

QCM || L’équilibre général || est un concept défini par L. Walras|signifie que tous les marchés d’une économie sont en équilibre|est unique et stable|V:vérifie les trois propositions précédentes ||  ||
