chapter: HPE > Marginalistes et Keynes

# QCM couvrant Révolution marginaliste (Jevons, Menger, Walras) et Keynes

QCM || La révolution marginaliste introduit principalement || V:l'utilité marginale décroissante et une valeur subjective|la valeur-travail stricte|la loi psychologique de consommation|la baisse tendancielle du profit || Changement conceptuel valeur-utilité || HPE, Marginalistes
QCM || L'équilibre général walrasien se caractérise par || V:un système d'équations interdépendantes reliant tous les marchés|des équilibres de marché indépendants|des prix administrés|un ajustement instantané réel sans conditions || Walras formalise l'interdépendance || HPE, Walras
QCM || Le tâtonnement walrasien suppose || V:un commissaire-priseur annonçant les prix jusqu'à l'équilibre|des échanges hors équilibre|des quantités fixées par l'État|l'absence d'excès d'offre ou de demande observables || Processus fictif d'ajustement par les prix || HPE, Walras
QCM || La révolution marginaliste opère un glissement de || V:valeur-travail → valeur-utilité|monnaie → or|offre globale → demande globale|micro → macro || Passage d'une base objective à subjective de la valeur || HPE, Marginalistes
QCM || Une distinction non encore formalisée au départ chez les marginalistes concerne || V:l'utilité ordinale vs cardinale|la différence PMC/PME|l'offre vs la demande|la monnaie vs le crédit || Précisions viendront avec Pareto, Edgeworth, Marshall || HPE, Marginalistes
QCM || Pareto/Edgeworth/Marshall contribuent à || V:la microéconomie moderne (courbes d'indifférence, optimum, surplus)|la théorie de la plus-value|la théorie des cycles réels|la préférence pour la liquidité || Formalisation ultérieure de la micro || HPE, Micro moderne
QCM || Chez Keynes, le contexte déclencheur est || V:la Grande Dépression et le chômage massif|une hyperinflation|la stagflation des années 1970|la guerre de Sécession || Rupture face à l'échec de la loi de Say || HPE, Keynes
QCM || Le principe de demande effective signifie que || V:la production dépend de la dépense globale anticipée|l'offre crée toujours sa demande|le plein-emploi est automatique|la monnaie est neutre || D = C + I + G (+ X − M) || HPE, Keynes
QCM || Dans C = C0 + cY, C0 représente || V:la consommation autonome (incompressible)|la PMC|l'investissement autonome|la demande mondiale || Forme linéaire de la consommation || HPE, Keynes
QCM || Le multiplicateur keynésien vaut || V:k = 1/(1 − c)|k = 1/(1 + c)|k = 1 − c|k = c/(1 − c) || Effet amplificateur des dépenses || HPE, Keynes
QCM || L'investissement dépend de || V:l'efficacité marginale du capital (EMC) et du taux d'intérêt|uniquement de la politique budgétaire|uniquement des profits courants|de la seule épargne || EMC et i conditionnent I || HPE, Keynes
QCM || La préférence pour la liquidité implique || V:un rôle actif de la monnaie via le taux d'intérêt|la neutralité de la monnaie|l'égalité S=I à chaque instant|un multiplicateur nul || Monnaie non neutre chez Keynes || HPE, Keynes
QCM || Selon Keynes, le chômage involontaire provient || V:d'une insuffisance de la demande effective|de salaires trop élevés à l'équilibre strict|d'une surévaluation de l'or|de la seule technologie || Déséquilibres durables sans ajustement automatique || HPE, Keynes
QCM || L'échec de la loi de Say dans la Grande Dépression suggère que || V:l'offre ne crée pas toujours sa demande à court terme|les prix s'ajustent instantanément|la spéculation rend la monnaie neutre|le commerce équilibre tout || Rupture centrale de 1936 || HPE, Keynes
QCM || Une politique budgétaire de relance agit via || V:la hausse de G et l'effet multiplicateur|la baisse mécanique de l'offre|la hausse des droits de douane|la déflation salariale || G ↑ → D ↑ → Y ↑ amplifié par k || HPE, Politiques
QCM || La trappe à liquidité correspond à || V:une situation où baisser i n'accroît plus l'investissement|un excès de demande de monnaie lié à l'hyperinflation|un contrôle des capitaux|un taux d'intérêt réel négatif systématique || Limite de la politique monétaire || HPE, Keynes
QCM || Une confusion à éviter d'après la fiche est || V:main invisible ≠ laisser-faire absolu|loi de Say = équilibre à court terme|équilibre walrasien = ajustement réel instantané|demande effective = offre globale || Smith attribue des fonctions à l'État; Walras est un construct théorique || HPE, Synthèse
QCM || En keynésianisme, S et I || V:peuvent diverger à court terme, générant sous-emploi|sont égaux instantanément par prix|sont imposés par l'État|ne dépendent pas des anticipations || Divergence via comportements d'épargne et I instable || HPE, Keynes
QCM || La monnaie influence l'activité parce qu'elle || V:affecte le taux d'intérêt et l'investissement|fixe directement la productivité|détermine la valeur-travail|supprime les anticipations || Monnaie active par la préférence pour la liquidité || HPE, Keynes
QCM || Le rôle de l'État chez Keynes est || V:stabilisateur conjoncturel par politiques budgétaire/monétaire|strictement minimal|limité à la justice et défense|uniquement redistributif || Stabilisation de l'activité et de l'emploi || HPE, Politiques
