chapter: HPE > Des origines à Marx

# QCM couvrant Antiquité, Scolastique, Mercantilistes, Pré-classiques, Physiocrates, Classiques, Marx

QCM || Le triptyque Analyse → Théorie → Histoire signifie principalement que || V:l'analyse nourrit la théorie et l'histoire éclaire ses limites|La théorie remplace l'histoire|L'histoire est inutile à l'analyse|La théorie ne change pas avec le temps || La fiche souligne la relation réflexive: observation → modèles → mise en contexte historique || HPE, Méthodo
QCM || Dans la distinction aristotélicienne, l'oikonomia désigne || V:l'usage raisonné des ressources en fonction des besoins|La quête illimitée du profit|La spéculation monétaire|La seule production agricole || Oikonomia vs chrématistique (condamnée) || HPE, Antiquité
QCM || Pour la scolastique (Thomas d'Aquin), le « juste prix » vise || V:l'équité et la cohésion sociale|Le profit maximal|L'égalisation internationale des prix|La taxation maximale de la rente || Dimension morale et sociale du prix || HPE, Scolastique
QCM || L'usure est condamnée par la scolastique parce que || V:la monnaie est considérée stérile|elle décourage l'épargne|elle réduit l'investissement public|elle favorise la concurrence || Conception morale de la monnaie et du temps || HPE, Scolastique
QCM || Le mercantilisme assimile la richesse nationale surtout à || V:la quantité de métaux précieux et à l'excédent commercial|la productivité agricole uniquement|l'accumulation de capital humain|la stabilité monétaire purement || Bodin, Mun, Montchrétien; rôle de l'État et commerce extérieur || HPE, Mercantilisme
QCM || Chez Thomas Mun, la politique recommandée est || V:une balance commerciale excédentaire|un libre-échange intégral sans État|un étalon blé|la suppression des manufactures || Excédents d'exportation pour renforcer le souverain || HPE, Mercantilisme
QCM || L'apport de Jean Bodin porte notamment sur || V:le lien quantité de monnaie – niveau des prix|la loi des débouchés|la valeur-travail|l'utilité marginale || Proto-quantité de monnaie → prix || HPE, Mercantilisme
QCM || Boisguilbert critique le mercantilisme en affirmant que || V:la richesse réelle réside dans la production et la circulation|l'or est la mesure ultime|l'État doit fermer les frontières|les impôts n'affectent pas l'activité || Richesse = production/circulation; plaidoyer pour liberté du commerce || HPE, Pré-classiques
QCM || L'Essai de Cantillon met en avant || V:le circuit économique et le rôle de l'entrepreneur|le multiplicateur keynésien|la préférence pour la liquidité|la neutralité de la monnaie || Préfigure le circuit et la formation des prix || HPE, Pré-classiques
QCM || Les physiocrates (Quesnay) considèrent « productive » || V:la seule agriculture (produit net)|toute forme de production y compris le commerce|uniquement l'industrie lourde|les services publics || Produit net agricole et impôt unique sur la rente || HPE, Physiocrates
QCM || Le Tableau économique de Quesnay est || V:une modélisation du circuit entre trois classes|un budget de l'État|une table d'entrée-sortie moderne au sens strict|une comptabilité des colonies || Première représentation macro des flux de revenus || HPE, Physiocrates
